current_belt;gender;shorts
blue belt;Male;no answer
purple belt;Male;american top team
white belt;Male;no answer
brown belt;Male;no answer
purple belt;Male;no answer
blue belt;Male;adidas
blue belt;Male;no answer
purple belt;Male;no answer
white belt;Male;hayabusa
blue belt;Male;gameness
white belt;Male;no answer
blue belt;Male;anything
blue belt;Male;toro
blue belt;Male;venum
purple belt;Male;no answer
brown belt;Male;sprawl
white belt;Male;93 brand
blue belt;Male;no answer
purple belt;Male;no answer
blue belt;Male;keiko
blue belt;Male;keiko raca
blue belt;Male;scramble
purple belt;Male;no answer
purple belt;Male;no answer
blue belt;Male;no answer
purple belt;Male;bad boy
blue belt;Male;no answer
white belt;Male;no answer
purple belt;Male;93 brand
purple belt;Male;sprawl
white belt;Male;no answer
white belt;Male;no answer
blue belt;Male;no answer
blue belt;Male;shoyoroll
blue belt;Male;no answer
purple belt;Male;no answer
blue belt;Male;no answer
blue belt;Male;93 brand
brown belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
white belt;Female;jaco
blue belt;Male;no answer
purple belt;Male;no answer
purple belt;Male;furia
black belt;Male;no answer
white belt;Female;fightwear
white belt;Female;raven
brown belt;Male;sprawl
white belt;Female;no answer
white belt;Male;tatami
blue belt;Male;gameness
blue belt;Male;braus fight
white belt;Male;no answer
blue belt;Male;on the mat
blue belt;Male;sprawl
blue belt;Male;triangle athletics
brown belt;Male;no answer
purple belt;Male;hayabusa
blue belt;Male;no answer
white belt;Male;jaco
white belt;Male;93 brand
white belt;Male;jaco
purple belt;Male;sprawl
blue belt;Male;no answer
purple belt;Male;no answer
white belt;Male;venum
white belt;Male;warrior kimonos
purple belt;Male;no answer
blue belt;Male;no answer
no rank;Male;hayabusa
blue belt;Male;phalanx
blue belt;Male;shoyoroll
white belt;Male;venum
white belt;Male;no answer
blue belt;Male;no answer
blue belt;Male;no answer
white belt;Male;no answer
blue belt;Male;anything
blue belt;Female;no answer
white belt;Male;no answer
purple belt;Male;no answer
blue belt;Male;no answer
white belt;Male;no answer
purple belt;Male;atama
blue belt;Male;no answer
blue belt;Male;tatami
white belt;Male;underarmour
blue belt;Male;no answer
blue belt;Male;no answer
purple belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
blue belt;Male;no answer
white belt;Male;no answer
blue belt;Male;break point
white belt;Female;anything
white belt;Male;no answer
white belt;Male;no answer
blue belt;Female;koral
purple belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
purple belt;Male;no answer
blue belt;Male;no answer
white belt;Male;sprawl
purple belt;Male;no answer
blue belt;Male;no answer
blue belt;Male;no answer
white belt;Male;hayabusa
white belt;Male;no answer
blue belt;Male;93 brand
blue belt;Male;newaza
purple belt;Male;no answer
purple belt;Male;on the mat
white belt;Male;no answer
white belt;Male;hayabusa
blue belt;Male;gameness
blue belt;Male;underarmour
blue belt;Male;no answer
purple belt;Male;datsusara
white belt;Female;no answer
white belt;Male;venum
blue belt;Male;anything
blue belt;Male;gi pants
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
purple belt;Male;no answer
white belt;Male;no answer
blue belt;Male;jaco
blue belt;Male;anything
white belt;Male;academy / tournaments
white belt;Male;gi pants
white belt;Male;no answer
purple belt;Male;93 brand
purple belt;Male;inverted gear
blue belt;Female;no answer
purple belt;Male;no answer
white belt;Male;rios gear
purple belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
brown belt;Male;no answer
purple belt;Male;nike
blue belt;Female;no answer
no rank;Male;venum
blue belt;Male;combat corner
white belt;Male;no answer
white belt;Male;globetrotters
white belt;Male;no answer
purple belt;Male;93 brand
purple belt;Male;jaco
blue belt;Male;no answer
white belt;Male;koral
purple belt;Male;no answer
white belt;Male;no answer
purple belt;Male;cageside
white belt;Male;no answer
white belt;Female;no answer
blue belt;Male;toro
purple belt;Male;no answer
purple belt;Male;cageside
purple belt;Male;toro
blue belt;Male;toro
brown belt;Male;sprawl
purple belt;Male;no answer
white belt;Male;no answer
white belt;Male;venum
blue belt;Male;no answer
blue belt;Female;no answer
white belt;Male;scramble
blue belt;Female;no answer
blue belt;Male;toro
blue belt;Male;cageside
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
black belt;Male;rvca
purple belt;Female;newaza
purple belt;Female;phalanx
blue belt;Male;newaza
blue belt;Male;scramble
white belt;Male;newaza
white belt;Male;scramble
blue belt;Male;no answer
white belt;Male;toro
black belt;Male;toro
blue belt;Male;newaza
blue belt;Male;scramble
brown belt;Male;sprawl
blue belt;Male;bad boy
blue belt;Male;phalanx
blue belt;Male;sprawl
blue belt;Male;93 brand
blue belt;Male;howard combat kimonos
blue belt;Male;origin
purple belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
purple belt;Male;academy / tournaments
purple belt;Male;toro
no rank;Male;no answer
blue belt;Male;no answer
blue belt;Male;toro
blue belt;Male;hayabusa
blue belt;Male;scramble
white belt;Male;no answer
blue belt;Male;moya
blue belt;Male;shoyoroll
brown belt;Male;no answer
purple belt;Male;deus
purple belt;Male;sprawl
purple belt;Male;no answer
blue belt;Male;93 brand
blue belt;Male;venum
blue belt;Male;93 brand
blue belt;Male;storm
no rank;Male;no answer
white belt;Male;no answer
brown belt;Male;bad boy
white belt;Male;cageside
white belt;Male;toro
white belt;Male;cageside
white belt;Male;toro
white belt;Male;newaza
white belt;Male;sprawl
white belt;Female;no answer
purple belt;Male;no answer
white belt;Female;no answer
purple belt;Male;no answer
white belt;Male;no answer
purple belt;Male;nogi industries
brown belt;Male;revgear
white belt;Male;no answer
purple belt;Male;no answer
white belt;Male;no answer
no rank;Male;keiko
no rank;Male;venum
white belt;Male;no answer
purple belt;Male;no answer
white belt;Male;combat corner
white belt;Female;no answer
purple belt;Male;venum
white belt;Male;tuff fightwear
white belt;Male;no answer
purple belt;Male;no answer
purple belt;Male;toro
blue belt;Male;prana
blue belt;Male;jaco
blue belt;Male;venum
purple belt;Male;no answer
blue belt;Male;no answer
white belt;Male;bad boy
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;hylete
white belt;Male;oss clothing
white belt;Male;93 brand
purple belt;Female;no answer
blue belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
blue belt;Male;no answer
blue belt;Male;no answer
blue belt;Male;hayabusa
blue belt;Male;sub apparel
black belt;Male;sprawl
purple belt;Male;hayabusa
white belt;Male;tatami
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
purple belt;Male;jaco
purple belt;Male;hylete
black belt;Male;sprawl
white belt;Male;tatami
purple belt;Male;sprawl
blue belt;Male;no answer
white belt;Female;no answer
white belt;Male;no answer
brown belt;Male;atama
no rank;Male;no answer
blue belt;Female;no answer
purple belt;Male;no answer
blue belt;Male;scramble
white belt;Male;no answer
black belt;Male;no answer
black belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
white belt;Male;no answer
black belt;Male;no answer
white belt;Male;combat corner
black belt;Male;no answer
blue belt;Male;no answer
purple belt;Male;no answer
blue belt;Male;manto
blue belt;Male;progress
blue belt;Male;rip stop
blue belt;Male;scramble
blue belt;Male;tatami
blue belt;Male;no answer
purple belt;Male;no answer
white belt;Male;no answer
purple belt;Male;sprawl
purple belt;Male;triumph united
purple belt;Male;anything
blue belt;Male;shoyoroll
blue belt;Male;no answer
purple belt;Male;cageside
purple belt;Male;no answer
white belt;Male;no answer
white belt;Male;on the mat
blue belt;Male;no answer
black belt;Male;no answer
no rank;Male;quicksilver
purple belt;Male;no answer
purple belt;Male;ck fight life
purple belt;Male;nike
blue belt;Male;no answer
blue belt;Male;hayabusa
blue belt;Male;scramble
blue belt;Male;sprawl
purple belt;Male;no answer
purple belt;Male;cageside
purple belt;Male;toro
purple belt;Male;no answer
brown belt;Male;atama
brown belt;Male;no answer
white belt;Male;no answer
purple belt;Male;no answer
blue belt;Male;no answer
blue belt;Male;anything
blue belt;Male;fightwear
blue belt;Male;raven
purple belt;Female;no answer
black belt;Male;toro
blue belt;Male;no answer
